ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,Last Service Approval Transfer Date,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Other,Annual Monday Start Time,Annual Monday End Time,Annual Tuesday Start Time,Annual Tuesday End Time,Annual Wednesday Start Time,Annual Wednesday End Time,Annual Thursday Start Time,Annual Thursday End Time,Annual Friday Start Time,Annual Friday End Time,Annual Saturday Start Time,Annual Saturday End Time,Annual Sunday Start Time,Annual Sunday End Time,School Terms Only Session 1 Monday Start Time,School Terms Only Session 1 Monday End Time,School Terms Only Session 1 Tuesday Start Time,School Terms Only Session 1 Tuesday End Time,School Terms Only Session1 Wednesday Start Time,School Terms Only Session1 Wednesday End Time,School Terms Only Session1 Thursday Start Time,School Terms Only Session1 Thursday End Time,School Terms Only Session 1 Friday Start Time,School Terms Only Session 1 Friday End Time,School Terms Only Session 1 Saturday Start Time,School Terms Only Session 1 Saturday End Time,School Terms Only Session1 Sunday Start Time,School Terms Only Session 1 Sunday End Time,School Terms Only Session 2 Monday Start Time,School Terms Only Session 2 Monday End Time,School Terms Only Session 2 Tuesday Start Time,School Terms Only Session 2 Tuesday End Time,School Terms Only Session 2 Wednesday Start Time,School Terms Only Session 2 Wednesday End Time,School Terms Only Session 2 Thursday Start Time,School Terms Only Session2 Thursday End Time,School Terms Only Session 2 Friday Start Time,School Terms Only Session 2 Friday End Time,School Terms Only Session 2 Saturday Start Time,School Terms Only Session 2 Saturday End Time,School Terms Only Session 2 Sunday Start Time,School Terms Only Session 2 Sunday End Time,Holiday Care Monday Start Time,Holiday Care Monday End Time,Holiday Care Tuesday Start Time,Holiday Care Tuesday End Time,Holiday Care Wednesday Start Time,Holiday Care Wednesday End Time,Holiday Care Thursday Start Time,Holiday Care Thursday End Time,Holiday Care Friday Start Time,Holiday Care Friday End Time,Holiday Care Saturday Start Time,Holiday Care Saturday End Time,Holiday Care Sunday Start Time,Holiday Care Sunday End Time,Temporarily Closed
SE-00002613,PR-00001304,Alexandra & District Kindergarten,Alexandra and District Kindergarten Inc,Centre-Based Care,15 Bayley Street,ALEXANDRA,VIC,3714,357721387,,alexandra.kin@kindergarten.vic.gov.au,,51,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-19,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jun-13,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:45,14:45,8:45,11:45,8:45,14:45,,,8:45,14:45,,,,,,,12:45,15:45,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002614,PR-00001754,Alexandra Baby Care,Debra Joy Douglas,Centre-Based Care,13 Coster Street,ALEXANDRA,VIC,3714,357722155,,alexandrababycare@bigpond.com,,29,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-19,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Mar-14,,Yes,No,No,No,No,No,No,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002615,PR-00001947,Altona Kindergarten,Early Childhood Management Services Inc,Centre-Based Care,89 Blyth Street,ALTONA,VIC,3018,393982839,394450346,altona@ecms.org.au,,30,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May-17,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Dec-12,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:30,13:30,8:30,13:30,8:30,13:30,8:30,13:30,8:30,13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002620,PR-00001947,Somers Parade Kindergarten,Early Childhood Management Services Inc,Centre-Based Care,4 Somers Parade,ALTONA,VIC,3018,393981526,394450346,somersparade@ecms.org.au,The educator to child ratio for children aged 36 months of age to preschool age will be at least 1 educator to 12 children.,30,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jun-15,,,,,,,,,,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:30,13:30,8:30,13:30,8:30,13:30,8:30,13:30,9:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002621,PR-00001947,Seaholme Kindergarten,Early Childhood Management Services Inc,Centre-Based Care,2 Parkside Crescent,SEAHOLME,VIC,3018,393981216,394450346,seaholme@ecms.org.au,,30,1/01/2012,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jan-16,,,,,,,,,,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,9:30,14:30,9:30,13:30,9:30,14:30,9:30,14:30,9:30,14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002622,PR-00002164,Altona Meadows Kindergarten,Altona Meadows Kindergarten Inc,Centre-Based Care,65-71 Powlett Street,ALTONA MEADOWS,VIC,3028,393693346,,altona.meadows.kin@kindergarten.vic.gov.au,,30,1/01/2012,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-18,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Jun-14,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,8:30,16:00,,,8:30,16:00,,,,,,,,,9:00,14:15,,,9:00,14:15,9:00,14:15,,,,,,,,,,,,,,,,,,,No
SE-00002623,PR-00002276,Russell Court Kindergarten and Childrens' Centre Inc,Russell Court Kindergarten and Childrens' Centre Inc,Centre-Based Care,10 Russell Court,ALTONA MEADOWS,VIC,3028,03 9315 6932,03 9315 6605,admin@russellcourt.org.au,,54,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-18,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Oct-14,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,15:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002624,PR-00007250,One Tree Altona Meadows Children's Service,One Tree Community Services Inc,Centre-Based Care,342 Queen Street,ALTONA MEADOWS,VIC,3028,393608158,,altonameadows@onetree.org.au,,58,1/01/2012,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Sep-18,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Jan-16,4/01/2016,Yes,No,No,No,No,No,No,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002625,PR-00007250,One Tree Altona North Children's Service,One Tree Community Services Inc,Centre-Based Care,10 Fifth Avenue,ALTONA NORTH,VIC,3025,03 9398 0772,399322139,information@onetree.org.au,,113,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Dec-17,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Apr-13,4/01/2016,Yes,No,No,No,No,Yes,No,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002626,PR-00002240,Natimuk Preschool,Horsham & District Kindergarten Association Inc,Centre-Based Care,2 Regent Street,NATIMUK,VIC,3409,03 5387 1246,03 5387 1246,natimuk.kin@kindergarten.vic.gov.au,The educator to child ratio for children aged 36 months of age to preschool age will be at least one educator to 12 children.,23,1/01/2012,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun-20,Working Towards NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Oct-19,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,9:00,14:00,9:00,14:00,,,9:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
