ID,ServiceName,ServiceType,Suburb,Postcode,Size,OverallRating,Long Day Care,Preschool/Kinder - Part of a School,Preschool/Kinder - Standalone,After School Care,Before School Care,Vacation Care,Temporarily Closed,Cost Per Day
1,Alexandra & District Kindergarten,Centre-Based Care,ALEXANDRA,3714,51,Meeting NQS,No,No,Yes,No,No,No,No,151
2,Alexandra Baby Care,Centre-Based Care,ALEXANDRA,3714,29,Meeting NQS,Yes,No,No,No,No,No,No,144
3,Altona Kindergarten,Centre-Based Care,ALTONA,3018,30,Exceeding NQS,No,No,Yes,No,No,No,No,163
4,Somers Parade Kindergarten,Centre-Based Care,ALTONA,3018,30,Exceeding NQS,No,No,Yes,No,No,No,No,77
5,Seaholme Kindergarten,Centre-Based Care,SEAHOLME,3018,30,Working Towards NQS,No,No,Yes,No,No,No,No,76
6,Altona Meadows Kindergarten,Centre-Based Care,ALTONA MEADOWS,3028,30,Meeting NQS,No,No,Yes,No,No,No,No,146
7,Russell Court Kindergarten and Childrens' Centre Inc,Centre-Based Care,ALTONA MEADOWS,3028,54,Meeting NQS,No,No,Yes,No,No,No,No,179
8,One Tree Altona Meadows Children's Service,Centre-Based Care,ALTONA MEADOWS,3028,58,Meeting NQS,Yes,No,No,No,No,No,No,164
9,One Tree Altona North Children's Service,Centre-Based Care,ALTONA NORTH,3025,113,Exceeding NQS,Yes,No,No,No,No,Yes,No,141
10,Natimuk Preschool,Centre-Based Care,NATIMUK,3409,23,Meeting NQS,No,No,Yes,No,No,No,No,198
11,Jack & Jill Kindergarten,Centre-Based Care,ARARAT,3377,30,Meeting NQS,No,No,Yes,No,No,No,No,122
12,St Andrews Kindergarten,Centre-Based Care,ARARAT,3377,30,Working Towards NQS,No,No,Yes,No,No,No,No,144
13,Willaura & District Kindergarten,Centre-Based Care,WILLAURA,3379,22,Working Towards NQS,No,No,Yes,No,No,No,No,146
14,East Sale Kindergarten,Centre-Based Care,SALE EAST,3852,28,Exceeding NQS,No,No,Yes,No,No,No,No,195
15,Stratford Kindergarten,Centre-Based Care,STRATFORD,3862,55,Exceeding NQS,No,No,Yes,No,No,No,No,135
16,Young Street Kindergarten,Centre-Based Care,BACCHUS MARSH,3340,60,Meeting NQS,No,No,Yes,No,No,No,No,90
17,Bacchus Marsh Montessori Preschool,Centre-Based Care,BACCHUS MARSH,3340,58,Meeting NQS,No,No,Yes,No,No,No,No,118
18,Bacchus Marsh Child Care & Kindergarten Centre,Centre-Based Care,BACCHUS MARSH,3340,50,Meeting NQS,Yes,No,No,No,No,No,No,134
19,Pentland Childcare & Kindergarten Centre,Centre-Based Care,BACCHUS MARSH,3340,100,Working Towards NQS,Yes,No,No,No,No,No,No,195
20,Bairnsdale Kindergarten,Centre-Based Care,BAIRNSDALE,3875,60,Working Towards NQS,No,No,Yes,No,No,No,No,91
21,Westdale Kindergarten,Centre-Based Care,BAIRNSDALE,3875,26,Working Towards NQS,No,No,Yes,No,No,No,No,126
22,Bairnsdale Early Learning Centre,Centre-Based Care,BAIRNSDALE,3875,60,Meeting NQS,No,No,Yes,No,No,No,No,144
23,Lindenow & District Kindergarten,Centre-Based Care,LINDENOW,3865,25,Meeting NQS,No,No,Yes,No,No,No,No,181
24,Paynesville Kindergarten,Centre-Based Care,PAYNESVILLE,3880,52,Exceeding NQS,No,No,Yes,No,No,No,No,91
25,Ballan & District Preschool,Centre-Based Care,BALLAN,3342,59,Exceeding NQS,No,No,Yes,No,No,No,No,90
26,Bakery Hill Kindergarten,Centre-Based Care,BALLARAT,3350,55,Meeting NQS,No,No,Yes,No,No,No,No,88
27,Iris Ramsay Kindergarten,Centre-Based Care,BALLARAT,3350,55,Meeting NQS,No,No,Yes,No,No,No,No,150
28,Enid Rogers Jubilee Kindergarten,Centre-Based Care,BALLARAT,3350,33,Exceeding NQS,No,No,Yes,No,No,No,No,59
29,St Alipius Kindergarten,Centre-Based Care,BALLARAT,3350,28,Working Towards NQS,No,No,Yes,No,No,No,No,176
30,Soldiers Hill Kindergarten,Centre-Based Care,BALLARAT,3350,29,Meeting NQS,No,No,Yes,No,No,No,No,58
31,Ballarat Fidelity Club Kindergarten,Centre-Based Care,BALLARAT,3350,30,Exceeding NQS,No,No,Yes,No,No,No,No,54
32,Mt Pleasant Kindergarten,Centre-Based Care,BALLARAT,3350,63,Exceeding NQS,No,No,Yes,No,No,No,No,106
33,Brown Hill Kindergarten,Centre-Based Care,BALLARAT,3350,66,Exceeding NQS,No,No,Yes,No,No,No,No,144
34,Black Hill Kindergarten,Centre-Based Care,BLACK HILL,3350,25,Working Towards NQS,No,Yes,No,No,No,No,No,118
35,Kardinia Early Learning - York Street,Centre-Based Care,BALLARAT,3350,26,Meeting NQS,No,No,Yes,No,No,No,No,117
36,Ballarat Child Care Co-op,Centre-Based Care,BALLARAT,3350,44,Working Towards NQS,Yes,No,No,No,No,No,No,181
37,Girrabanya Children's Centre,Centre-Based Care,BALLARAT,3350,98,Working Towards NQS,Yes,No,No,No,No,No,No,63
38,Ballarat & Clarendon College Preschool,Centre-Based Care,BALLARAT,3350,165,Exceeding NQS,No,No,Yes,No,No,No,No,176
39,Ballarat Little Learners Early Education Centre,Centre-Based Care,BALLARAT,3350,29,Meeting NQS,Yes,No,No,No,No,No,No,141
40,Linda Brown Preschool,Centre-Based Care,WENDOUREE,3355,52,Exceeding NQS,No,No,Yes,No,No,No,No,135
41,Alfredton Preschool,Centre-Based Care,ALFREDTON,3350,48,Working Towards NQS,No,No,Yes,No,No,No,No,104
42,Rowan View Preschool,Centre-Based Care,WENDOUREE,3355,47,Meeting NQS,No,No,Yes,No,No,No,No,66
43,Wendouree Children's Services,Centre-Based Care,WENDOUREE,3355,75,Meeting NQS,Yes,No,No,No,No,No,No,135
44,Inverleigh Kindergarten,Centre-Based Care,INVERLEIGH,3321,33,Exceeding NQS,No,No,Yes,No,No,No,No,167
45,Moriac Kindergarten,Centre-Based Care,MORIAC,3240,29,Exceeding NQS,No,No,Yes,No,No,No,No,89
46,Anglesea Kindergarten,Centre-Based Care,ANGLESEA,3230,55,Exceeding NQS,No,No,Yes,No,No,No,No,58
47,The Jan Juc Preschool,Centre-Based Care,JAN JUC,3228,79,Exceeding NQS,No,No,Yes,No,No,No,No,163
48,Beechworth Community Child Care Centre,Centre-Based Care,BEECHWORTH,3747,55,Meeting NQS,Yes,No,No,No,No,No,No,62
49,Beechworth Kindergarten Inc.,Centre-Based Care,BEECHWORTH,3747,30,Meeting NQS,No,No,Yes,No,No,No,No,187
50,Leopold Kindergarten,Centre-Based Care,LEOPOLD,3224,35,Exceeding NQS,No,No,Yes,No,No,No,No,150
51,Kirralee Kindergarten,Centre-Based Care,NEWCOMB,3219,31,Meeting NQS,No,No,Yes,No,No,No,No,90
52,Ocean Grove & District Preschool,Centre-Based Care,OCEAN GROVE,3226,68,Exceeding NQS,No,No,Yes,No,No,No,No,105
53,Portarlington Preschool Centre,Centre-Based Care,PORTARLINGTON,3223,53,Meeting NQS,No,No,Yes,No,No,No,No,143
54,Allanvale Preschool,Centre-Based Care,LEOPOLD,3224,71,Exceeding NQS,No,No,Yes,No,No,No,No,97
55,Woodlands Preschool,Centre-Based Care,OCEAN GROVE,3226,30,Exceeding NQS,No,No,Yes,No,No,No,No,195
56,Clifton Springs Preschool,Centre-Based Care,CLIFTON SPRINGS,3222,33,Exceeding NQS,No,No,Yes,No,No,No,No,73
57,Beacon Point Preschool,Centre-Based Care,CLIFTON SPRINGS,3222,34,Exceeding NQS,No,No,Yes,No,No,No,No,60
58,Whittington Child and Family Centre,Centre-Based Care,WHITTINGTON,3219,90,Meeting NQS,Yes,No,No,No,No,No,No,57
59,Leopold World of Learning,Centre-Based Care,LEOPOLD,3224,46,Meeting NQS,Yes,No,No,No,No,No,No,172
60,Bernard Briggs Kindergarten,Centre-Based Care,BENALLA,3672,28,Exceeding NQS,No,No,Yes,No,No,No,No,174
61,Munro Avenue Preschool,Centre-Based Care,BENALLA,3672,29,Exceeding NQS,No,No,Yes,No,No,No,No,179
62,Ride Avenue Preschool,Centre-Based Care,BENALLA,3672,47,Meeting NQS,No,No,Yes,No,No,No,No,141
63,Bendigo Preschool,Centre-Based Care,BENDIGO,3550,29,Meeting NQS,No,No,Yes,No,No,No,No,73
64,Shine Bright Neale Street North Kindergarten,Centre-Based Care,BENDIGO,3550,33,Meeting NQS,No,No,Yes,No,No,No,No,199
65,North Bendigo Kindergarten,Centre-Based Care,BENDIGO,3550,28,Meeting NQS,No,No,Yes,No,No,No,No,162
66,Shine Bright South Bendigo Kindergarten,Centre-Based Care,BENDIGO SOUTH,3550,33,Meeting NQS,No,No,Yes,No,No,No,No,84
67,Golden Square Kindergarten,Centre-Based Care,GOLDEN SQUARE,3555,45,Exceeding NQS,No,No,Yes,No,No,No,No,106
68,Shine Bright White Hills Kindergarten,Centre-Based Care,WHITE HILLS,3550,30,Meeting NQS,No,No,Yes,No,No,No,No,152
69,Dr Harry Little Preschool,Centre-Based Care,BENDIGO,3550,49,Exceeding NQS,No,No,Yes,No,No,No,No,141
70,Annie Galvin Early Learning Centre,Centre-Based Care,BENDIGO,3550,68,Exceeding NQS,Yes,No,No,No,No,No,No,145
71,Narre Warren North Kindergarten,Centre-Based Care,NARRE WARREN,3805,30,Meeting NQS,No,No,Yes,No,No,No,No,146
72,Timbarra Kindergarten,Centre-Based Care,BERWICK,3806,30,Exceeding NQS,No,No,Yes,No,No,No,No,70
73,Fountain Gate Kindergarten,Centre-Based Care,NARRE WARREN,3805,30,Exceeding NQS,No,No,Yes,No,No,No,No,137
74,James Cook Kindergarten,Centre-Based Care,ENDEAVOUR HILLS,3802,31,Exceeding NQS,No,No,Yes,No,No,No,No,75
75,Mansfield Street Kindergarten,Centre-Based Care,BERWICK,3806,30,Exceeding NQS,No,No,Yes,No,No,No,No,94
76,Chalcot Lodge Kindergarten,Centre-Based Care,ENDEAVOUR HILLS,3802,30,Meeting NQS,No,No,Yes,No,No,No,No,192
77,David Collins Kindergarten,Centre-Based Care,ENDEAVOUR HILLS,3802,30,Exceeding NQS,No,No,Yes,No,No,No,No,62
78,Hartley Ridge Kindergarten,Centre-Based Care,ENDEAVOUR HILLS,3802,33,Exceeding NQS,No,No,Yes,No,No,No,No,180
79,Allara Kindergarten,Centre-Based Care,ENDEAVOUR HILLS,3802,30,Exceeding NQS,No,No,Yes,No,No,No,No,70
80,Fleetwood Kindergarten,Centre-Based Care,NARRE WARREN,3805,30,Exceeding NQS,No,No,Yes,No,No,No,No,158
81,Narre Kids Early Learning & Kinder,Centre-Based Care,NARRE WARREN,3805,58,Meeting NQS,Yes,No,No,Yes,Yes,Yes,No,67
82,Brentwood Park Berwick Kindergarten,Centre-Based Care,BERWICK,3806,30,Exceeding NQS,No,No,Yes,No,No,No,No,65
83,Maramba Kindergarten,Centre-Based Care,NARRE WARREN,3805,52,Exceeding NQS,No,No,Yes,No,No,No,No,131
84,Talbingo Kindergarten,Centre-Based Care,NARRE WARREN,3805,30,Exceeding NQS,No,No,Yes,No,No,No,No,179
85,Reema Kindergarten,Centre-Based Care,ENDEAVOUR HILLS,3802,27,Exceeding NQS,No,No,Yes,No,No,No,No,113
